"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FIN","AIREMISSION","NOX","KG_CAP","A","2011",30.371,
"FIN","AIREMISSION","NOX","KG_CAP","A","2012",28.567,
"FIN","AIREMISSION","NOX","KG_CAP","A","2013",27.755,
"FIN","AIREMISSION","NOX","KG_CAP","A","2014",26.211,
"FIN","AIREMISSION","NOX","KG_CAP","A","2015",24.114,
"FIN","AIREMISSION","NOX","KG_CAP","A","2016",23.214,
"FIN","AIREMISSION","NOX","KG_CAP","A","2017",22.503,
"FIN","AIREMISSION","NOX","KG_CAP","A","2018",21.694,
"FRA","AIREMISSION","NOX","KG_CAP","A","2000",27.627,
"FRA","AIREMISSION","NOX","KG_CAP","A","2001",26.795,
"FRA","AIREMISSION","NOX","KG_CAP","A","2002",25.936,
"FRA","AIREMISSION","NOX","KG_CAP","A","2003",24.973,
"FRA","AIREMISSION","NOX","KG_CAP","A","2004",24.151,
"FRA","AIREMISSION","NOX","KG_CAP","A","2005",23.212,
"FRA","AIREMISSION","NOX","KG_CAP","A","2006",21.671,
"FRA","AIREMISSION","NOX","KG_CAP","A","2007",20.499,
"FRA","AIREMISSION","NOX","KG_CAP","A","2008",18.797,
"FRA","AIREMISSION","NOX","KG_CAP","A","2009",17.456,
"FRA","AIREMISSION","NOX","KG_CAP","A","2010",17.023,
"FRA","AIREMISSION","NOX","KG_CAP","A","2011",15.957,
"FRA","AIREMISSION","NOX","KG_CAP","A","2012",15.46,
"FRA","AIREMISSION","NOX","KG_CAP","A","2013",15.144,
"FRA","AIREMISSION","NOX","KG_CAP","A","2014",13.92,
"FRA","AIREMISSION","NOX","KG_CAP","A","2015",13.457,
"FRA","AIREMISSION","NOX","KG_CAP","A","2016",12.748,
"FRA","AIREMISSION","NOX","KG_CAP","A","2017",12.36,
"FRA","AIREMISSION","NOX","KG_CAP","A","2018",11.492,
"DEU","AIREMISSION","NOX","KG_CAP","A","2000",23.49,
"DEU","AIREMISSION","NOX","KG_CAP","A","2001",22.709,
"DEU","AIREMISSION","NOX","KG_CAP","A","2002",21.932,
"DEU","AIREMISSION","NOX","KG_CAP","A","2003",21.358,
"DEU","AIREMISSION","NOX","KG_CAP","A","2004",20.763,
"DEU","AIREMISSION","NOX","KG_CAP","A","2005",20.105,
"DEU","AIREMISSION","NOX","KG_CAP","A","2006",20.275,
"DEU","AIREMISSION","NOX","KG_CAP","A","2007",19.696,
"DEU","AIREMISSION","NOX","KG_CAP","A","2008",19.142,
"DEU","AIREMISSION","NOX","KG_CAP","A","2009",17.989,
"DEU","AIREMISSION","NOX","KG_CAP","A","2010",18.222,
"DEU","AIREMISSION","NOX","KG_CAP","A","2011",17.991,
"DEU","AIREMISSION","NOX","KG_CAP","A","2012",17.762,
"DEU","AIREMISSION","NOX","KG_CAP","A","2013",17.718,
"DEU","AIREMISSION","NOX","KG_CAP","A","2014",17.099,
"DEU","AIREMISSION","NOX","KG_CAP","A","2015",16.678,
"DEU","AIREMISSION","NOX","KG_CAP","A","2016",16.219,
"DEU","AIREMISSION","NOX","KG_CAP","A","2017",15.532,
"DEU","AIREMISSION","NOX","KG_CAP","A","2018",14.407,
"GRC","AIREMISSION","NOX","KG_CAP","A","2000",38.36,
"GRC","AIREMISSION","NOX","KG_CAP","A","2001",40.477,
"GRC","AIREMISSION","NOX","KG_CAP","A","2002",39.851,
"GRC","AIREMISSION","NOX","KG_CAP","A","2003",40.595,
"GRC","AIREMISSION","NOX","KG_CAP","A","2004",40.862,
"GRC","AIREMISSION","NOX","KG_CAP","A","2005",42.512,
"GRC","AIREMISSION","NOX","KG_CAP","A","2006",42.648,
"GRC","AIREMISSION","NOX","KG_CAP","A","2007",42.756,
"GRC","AIREMISSION","NOX","KG_CAP","A","2008",40.684,
"GRC","AIREMISSION","NOX","KG_CAP","A","2009",39.125,
"GRC","AIREMISSION","NOX","KG_CAP","A","2010",32.877,
"GRC","AIREMISSION","NOX","KG_CAP","A","2011",29.563,
"GRC","AIREMISSION","NOX","KG_CAP","A","2012",25.934,
"GRC","AIREMISSION","NOX","KG_CAP","A","2013",24.908,
"GRC","AIREMISSION","NOX","KG_CAP","A","2014",24.597,
"GRC","AIREMISSION","NOX","KG_CAP","A","2015",24.094,
"GRC","AIREMISSION","NOX","KG_CAP","A","2016",24.124,
"GRC","AIREMISSION","NOX","KG_CAP","A","2017",24.726,
"GRC","AIREMISSION","NOX","KG_CAP","A","2018",24.147,
"HUN","AIREMISSION","NOX","KG_CAP","A","2000",18.241,
"HUN","AIREMISSION","NOX","KG_CAP","A","2001",18.293,
"HUN","AIREMISSION","NOX","KG_CAP","A","2002",17.619,
"HUN","AIREMISSION","NOX","KG_CAP","A","2003",18.026,
"HUN","AIREMISSION","NOX","KG_CAP","A","2004",17.85,
"HUN","AIREMISSION","NOX","KG_CAP","A","2005",17.553,
"HUN","AIREMISSION","NOX","KG_CAP","A","2006",16.879,
"HUN","AIREMISSION","NOX","KG_CAP","A","2007",16.533,
"HUN","AIREMISSION","NOX","KG_CAP","A","2008",16.019,
"HUN","AIREMISSION","NOX","KG_CAP","A","2009",14.958,
"HUN","AIREMISSION","NOX","KG_CAP","A","2010",14.679,
"HUN","AIREMISSION","NOX","KG_CAP","A","2011",13.764,
"HUN","AIREMISSION","NOX","KG_CAP","A","2012",12.992,
"HUN","AIREMISSION","NOX","KG_CAP","A","2013",12.791,
"HUN","AIREMISSION","NOX","KG_CAP","A","2014",12.649,
"HUN","AIREMISSION","NOX","KG_CAP","A","2015",12.89,
"HUN","AIREMISSION","NOX","KG_CAP","A","2016",12.202,
"HUN","AIREMISSION","NOX","KG_CAP","A","2017",12.344,
"HUN","AIREMISSION","NOX","KG_CAP","A","2018",12.307,
"ISL","AIREMISSION","NOX","KG_CAP","A","2000",116.228,
"ISL","AIREMISSION","NOX","KG_CAP","A","2001",102.645,
"ISL","AIREMISSION","NOX","KG_CAP","A","2002",109.378,
"ISL","AIREMISSION","NOX","KG_CAP","A","2003",106.352,
"ISL","AIREMISSION","NOX","KG_CAP","A","2004",108.513,
"ISL","AIREMISSION","NOX","KG_CAP","A","2005",95.428,
"ISL","AIREMISSION","NOX","KG_CAP","A","2006",92.501,
"ISL","AIREMISSION","NOX","KG_CAP","A","2007",99.358,
"ISL","AIREMISSION","NOX","KG_CAP","A","2008",89.892,
"ISL","AIREMISSION","NOX","KG_CAP","A","2009",87.864,
"ISL","AIREMISSION","NOX","KG_CAP","A","2010",81.853,
"ISL","AIREMISSION","NOX","KG_CAP","A","2011",73.533,
"ISL","AIREMISSION","NOX","KG_CAP","A","2012",72.303,
"ISL","AIREMISSION","NOX","KG_CAP","A","2013",69.315,
"ISL","AIREMISSION","NOX","KG_CAP","A","2014",68.337,
"ISL","AIREMISSION","NOX","KG_CAP","A","2015",69.683,
"ISL","AIREMISSION","NOX","KG_CAP","A","2016",62.94,
"ISL","AIREMISSION","NOX","KG_CAP","A","2017",63.487,
"ISL","AIREMISSION","NOX","KG_CAP","A","2018",65.047,
"IRL","AIREMISSION","NOX","KG_CAP","A","2000",46.429,
"IRL","AIREMISSION","NOX","KG_CAP","A","2001",45.402,
"IRL","AIREMISSION","NOX","KG_CAP","A","2002",42.73,
"IRL","AIREMISSION","NOX","KG_CAP","A","2003",41.771,
"IRL","AIREMISSION","NOX","KG_CAP","A","2004",41.402,
"IRL","AIREMISSION","NOX","KG_CAP","A","2005",40.938,
"IRL","AIREMISSION","NOX","KG_CAP","A","2006",39.003,
"IRL","AIREMISSION","NOX","KG_CAP","A","2007",37.199,
"IRL","AIREMISSION","NOX","KG_CAP","A","2008",33.27,
"IRL","AIREMISSION","NOX","KG_CAP","A","2009",27.354,
"IRL","AIREMISSION","NOX","KG_CAP","A","2010",25.647,
"IRL","AIREMISSION","NOX","KG_CAP","A","2011",22.792,
"IRL","AIREMISSION","NOX","KG_CAP","A","2012",23.262,
"IRL","AIREMISSION","NOX","KG_CAP","A","2013",23.615,
"IRL","AIREMISSION","NOX","KG_CAP","A","2014",23.433,
"IRL","AIREMISSION","NOX","KG_CAP","A","2015",23.819,
"IRL","AIREMISSION","NOX","KG_CAP","A","2016",23.714,
"IRL","AIREMISSION","NOX","KG_CAP","A","2017",22.895,
"IRL","AIREMISSION","NOX","KG_CAP","A","2018",22.52,
"ITA","AIREMISSION","NOX","KG_CAP","A","2000",26.662,
"ITA","AIREMISSION","NOX","KG_CAP","A","2001",26.034,
"ITA","AIREMISSION","NOX","KG_CAP","A","2002",24.913,
"ITA","AIREMISSION","NOX","KG_CAP","A","2003",24.357,
"ITA","AIREMISSION","NOX","KG_CAP","A","2004",23.339,
"ITA","AIREMISSION","NOX","KG_CAP","A","2005",22.243,
"ITA","AIREMISSION","NOX","KG_CAP","A","2006",21.199,
"ITA","AIREMISSION","NOX","KG_CAP","A","2007",20.002,
"ITA","AIREMISSION","NOX","KG_CAP","A","2008",18.007,
"ITA","AIREMISSION","NOX","KG_CAP","A","2009",16.449,
"ITA","AIREMISSION","NOX","KG_CAP","A","2010",16.023,
"ITA","AIREMISSION","NOX","KG_CAP","A","2011",15.211,
"ITA","AIREMISSION","NOX","KG_CAP","A","2012",14.342,
"ITA","AIREMISSION","NOX","KG_CAP","A","2013",13.147,
"ITA","AIREMISSION","NOX","KG_CAP","A","2014",12.762,
"ITA","AIREMISSION","NOX","KG_CAP","A","2015",12.14,
"ITA","AIREMISSION","NOX","KG_CAP","A","2016",11.79,
