,country,year,coal_mw_new
394,North Macedonia,2003,0
395,Oman,2003,0
396,Pakistan,2003,0
397,Panama,2003,0
398,Papua New Guinea,2003,0
399,Peru,2003,0
400,Philippines,2003,0
401,Poland,2003,323
402,Portugal,2003,0
403,Reunion,2003,0
404,Romania,2003,0
405,Russia,2003,228
406,Senegal,2003,0
407,Serbia,2003,0
408,Slovakia,2003,0
409,Slovenia,2003,0
410,South Africa,2003,0
411,South Korea,2003,0
412,Spain,2003,0
413,Sri Lanka,2003,0
414,Sudan,2003,0
415,Eswatini,2003,0
416,Sweden,2003,0
417,Syria,2003,0
418,Taiwan,2003,0
419,Tajikistan,2003,0
420,Tanzania,2003,0
421,Thailand,2003,0
422,Turkey,2003,1720
423,Ukraine,2003,0
424,United Arab Emirates,2003,0
425,United Kingdom,2003,0
426,United States,2003,88
427,Uzbekistan,2003,0
428,Venezuela,2003,0
429,Vietnam,2003,0
430,Zambia,2003,0
431,Zimbabwe,2003,0
432,Albania,2004,0
433,Argentina,2004,0
434,Australia,2004,0
435,Austria,2004,0
436,Bangladesh,2004,0
437,Belarus,2004,0
438,Belgium,2004,0
439,Bosnia and Herzegovina,2004,0
440,Botswana,2004,0
441,Brazil,2004,0
442,Brunei,2004,0
443,Bulgaria,2004,0
444,Cambodia,2004,0
445,Canada,2004,0
446,Chile,2004,0
447,China,2004,29981
448,Colombia,2004,0
449,Croatia,2004,0
450,Czech Republic,2004,72
451,Democratic Republic of Congo,2004,0
452,Denmark,2004,0
453,Dominican Republic,2004,0
454,Egypt,2004,0
455,El Salvador,2004,0
456,Ethiopia,2004,0
457,Finland,2004,0
458,France,2004,46
459,Georgia,2004,0
460,Germany,2004,0
461,Ghana,2004,0
462,Greece,2004,0
463,Guadeloupe,2004,0
464,Guatemala,2004,0
465,Guinea,2004,0
466,Honduras,2004,0
467,Hong Kong,2004,0
468,Hungary,2004,0
469,India,2004,483
470,Indonesia,2004,30
471,Iran,2004,0
472,Ireland,2004,0
473,Israel,2004,0
474,Italy,2004,0
475,Ivory Coast,2004,0
476,Jamaica,2004,0
477,Japan,2004,2702
478,Jordan,2004,0
479,Kazakhstan,2004,0
480,Kenya,2004,0
481,Kosovo,2004,0
482,Kyrgyzstan,2004,0
483,Laos,2004,0
484,Latvia,2004,0
485,Madagascar,2004,0
486,Malawi,2004,0
487,Malaysia,2004,110
488,Mauritius,2004,0
489,Mexico,2004,0
490,Moldova,2004,0
491,Mongolia,2004,0
492,Montenegro,2004,0
493,Morocco,2004,0
494,Mozambique,2004,0
495,Myanmar,2004,60
496,Namibia,2004,0
497,Netherlands,2004,0
498,New Zealand,2004,0
499,Niger,2004,0
500,Nigeria,2004,0
501,North Korea,2004,0
502,North Macedonia,2004,0
503,Oman,2004,0
504,Pakistan,2004,0
505,Panama,2004,0
506,Papua New Guinea,2004,0
507,Peru,2004,0
508,Philippines,2004,0
509,Poland,2004,0
510,Portugal,2004,0
511,Reunion,2004,0
512,Romania,2004,0
513,Russia,2004,200
514,Senegal,2004,0
515,Serbia,2004,0
516,Slovakia,2004,0
517,Slovenia,2004,0
518,South Africa,2004,0
519,South Korea,2004,1600
520,Spain,2004,0
521,Sri Lanka,2004,0
522,Sudan,2004,0
523,Eswatini,2004,0
524,Sweden,2004,0
525,Syria,2004,0
526,Taiwan,2004,300
527,Tajikistan,2004,0
528,Tanzania,2004,0
529,Thailand,2004,0
530,Turkey,2004,0
531,Ukraine,2004,0
532,United Arab Emirates,2004,0
533,United Kingdom,2004,0
534,United States,2004,585
535,Uzbekistan,2004,0
536,Venezuela,2004,0
537,Vietnam,2004,250
538,Zambia,2004,0
539,Zimbabwe,2004,0
540,Albania,2005,0
541,Argentina,2005,0
542,Australia,2005,0
543,Austria,2005,0
544,Bangladesh,2005,0
545,Belarus,2005,0
546,Belgium,2005,0
547,Bosnia and Herzegovina,2005,0
548,Botswana,2005,0
549,Brazil,2005,0
550,Brunei,2005,0
551,Bulgaria,2005,0
552,Cambodia,2005,0
553,Canada,2005,466
554,Chile,2005,0
555,China,2005,46991
556,Colombia,2005,0
557,Croatia,2005,0
558,Czech Republic,2005,0
559,Democratic Republic of Congo,2005,0
560,Denmark,2005,0
561,Dominican Republic,2005,0
562,Egypt,2005,0
563,El Salvador,2005,0
564,Ethiopia,2005,0
565,Finland,2005,0
566,France,2005,0
567,Georgia,2005,0
568,Germany,2005,0
569,Ghana,2005,0
570,Greece,2005,0
571,Guadeloupe,2005,0
572,Guatemala,2005,0
573,Guinea,2005,0
574,Honduras,2005,0
575,Hong Kong,2005,0
576,Hungary,2005,0
577,India,2005,3325
578,Indonesia,2005,0
579,Iran,2005,0
580,Ireland,2005,0
581,Israel,2005,0
582,Italy,2005,350
583,Ivory Coast,2005,0
584,Jamaica,2005,0
585,Japan,2005,276
586,Jordan,2005,0
587,Kazakhstan,2005,0
588,Kenya,2005,0
589,Kosovo,2005,0
590,Kyrgyzstan,2005,0
591,Laos,2005,0
592,Latvia,2005,0
593,Madagascar,2005,0
594,Malawi,2005,0
595,Malaysia,2005,0
596,Mauritius,2005,35
597,Mexico,2005,0
598,Moldova,2005,0
599,Mongolia,2005,0
600,Montenegro,2005,0
601,Morocco,2005,0
602,Mozambique,2005,0
603,Myanmar,2005,60
604,Namibia,2005,0
605,Netherlands,2005,0
606,New Zealand,2005,0
607,Niger,2005,0
608,Nigeria,2005,0
609,North Korea,2005,0
610,North Macedonia,2005,0
611,Oman,2005,0
612,Pakistan,2005,0
613,Panama,2005,0
614,Papua New Guinea,2005,0
615,Peru,2005,0
616,Philippines,2005,0
617,Poland,2005,0
618,Portugal,2005,0
619,Reunion,2005,0
620,Romania,2005,0
621,Russia,2005,420
622,Senegal,2005,0
623,Serbia,2005,0
624,Slovakia,2005,0
625,Slovenia,2005,0
626,South Africa,2005,0
627,South Korea,2005,500
628,Spain,2005,0
629,Sri Lanka,2005,0
630,Sudan,2005,0
631,Eswatini,2005,0
632,Sweden,2005,0
633,Syria,2005,0
634,Taiwan,2005,550
635,Tajikistan,2005,0
636,Tanzania,2005,0
637,Thailand,2005,0
638,Turkey,2005,495
639,Ukraine,2005,0
640,United Arab Emirates,2005,0
641,United Kingdom,2005,0
642,United States,2005,434
643,Uzbekistan,2005,0
644,Venezuela,2005,0
645,Vietnam,2005,0
646,Zambia,2005,0
647,Zimbabwe,2005,0
648,Albania,2006,0
649,Argentina,2006,0
650,Australia,2006,0
651,Austria,2006,0
652,Bangladesh,2006,250
653,Belarus,2006,0
654,Belgium,2006,0
655,Bosnia and Herzegovina,2006,0
656,Botswana,2006,0
657,Brazil,2006,0
658,Brunei,2006,0
659,Bulgaria,2006,0
660,Cambodia,2006,0
661,Canada,2006,0
662,Chile,2006,0
663,China,2006,82067
664,Colombia,2006,0
665,Croatia,2006,0
666,Czech Republic,2006,0
667,Democratic Republic of Congo,2006,0
668,Denmark,2006,0
669,Dominican Republic,2006,0
670,Egypt,2006,0
671,El Salvador,2006,0
672,Ethiopia,2006,0
673,Finland,2006,0
674,France,2006,58
675,Georgia,2006,0
676,Germany,2006,0
677,Ghana,2006,0
678,Greece,2006,0
679,Guadeloupe,2006,0
680,Guatemala,2006,0
681,Guinea,2006,0
682,Honduras,2006,0
683,Hong Kong,2006,0
684,Hungary,2006,0
685,India,2006,2288
686,Indonesia,2006,1980
687,Iran,2006,0
688,Ireland,2006,0
689,Israel,2006,0
690,Italy,2006,0
691,Ivory Coast,2006,0
692,Jamaica,2006,0
693,Japan,2006,95
694,Jordan,2006,0
695,Kazakhstan,2006,120
696,Kenya,2006,0
697,Kosovo,2006,0
698,Kyrgyzstan,2006,0
699,Laos,2006,0
700,Latvia,2006,0
701,Madagascar,2006,0
702,Malawi,2006,0
703,Malaysia,2006,748
704,Mauritius,2006,0
705,Mexico,2006,0
706,Moldova,2006,0
707,Mongolia,2006,0
708,Montenegro,2006,0
709,Morocco,2006,0
710,Mozambique,2006,0
711,Myanmar,2006,0
712,Namibia,2006,0
713,Netherlands,2006,0
714,New Zealand,2006,0
715,Niger,2006,0
716,Nigeria,2006,0
717,North Korea,2006,0
718,North Macedonia,2006,0
719,Oman,2006,0
720,Pakistan,2006,0
721,Panama,2006,0
722,Papua New Guinea,2006,0
723,Peru,2006,0
724,Philippines,2006,284
725,Poland,2006,0
726,Portugal,2006,0
727,Reunion,2006,0
728,Romania,2006,0
729,Russia,2006,180
730,Senegal,2006,0
731,Serbia,2006,0
732,Slovakia,2006,0
733,Slovenia,2006,0
734,South Africa,2006,0
735,South Korea,2006,500
736,Spain,2006,0
737,Sri Lanka,2006,0
738,Sudan,2006,0
739,Eswatini,2006,0
740,Sweden,2006,0
741,Syria,2006,0
742,Taiwan,2006,550
743,Tajikistan,2006,0
744,Tanzania,2006,0
