,country,alpha_3,year,coal_mw_new,coal_mw_retired,coal_mw_change
215,Zimbabwe,ZWE,2001,0,0,0
216,Albania,ALB,2002,0,0,0
217,Argentina,ARG,2002,0,0,0
218,Australia,AUS,2002,440,396,44
219,Austria,AUT,2002,0,0,0
220,Bangladesh,BGD,2002,0,0,0
221,Belarus,BLR,2002,0,0,0
222,Belgium,BEL,2002,0,0,0
223,Bosnia and Herzegovina,BIH,2002,0,0,0
224,Botswana,BWA,2002,0,0,0
225,Brazil,BRA,2002,0,0,0
226,Brunei,BRN,2002,0,0,0
227,Bulgaria,BGR,2002,0,0,0
228,Cambodia,KHM,2002,0,0,0
229,Canada,CAN,2002,0,0,0
230,Chile,CHL,2002,0,0,0
231,China,CHN,2002,11033,350,10683
232,Colombia,COL,2002,0,0,0
233,Croatia,HRV,2002,0,0,0
234,Czech Republic,CZE,2002,0,0,0
235,Democratic Republic of Congo,COD,2002,0,0,0
236,Denmark,DNK,2002,0,262,-262
237,Dominican Republic,DOM,2002,0,0,0
238,Egypt,EGY,2002,0,0,0
239,El Salvador,SLV,2002,0,0,0
240,Ethiopia,ETH,2002,0,0,0
241,Finland,FIN,2002,0,0,0
242,France,FRA,2002,0,0,0
243,Georgia,GEO,2002,0,0,0
244,Germany,DEU,2002,1012,522,490
245,Ghana,GHA,2002,0,0,0
246,Greece,GRC,2002,0,0,0
247,Guadeloupe,GLP,2002,0,0,0
248,Guatemala,GTM,2002,0,0,0
249,Guinea,GIN,2002,0,0,0
250,Honduras,HND,2002,0,0,0
251,Hong Kong,HKG,2002,0,0,0
252,Hungary,HUN,2002,0,0,0
253,India,IND,2002,2040,1000,1040
254,Indonesia,IDN,2002,0,0,0
255,Iran,IRN,2002,0,0,0
256,Ireland,IRL,2002,0,0,0
257,Israel,ISR,2002,0,0,0
258,Italy,ITA,2002,0,0,0
259,Ivory Coast,CIV,2002,0,0,0
260,Jamaica,JAM,2002,0,0,0
261,Japan,JPN,2002,3550,0,3550
262,Jordan,JOR,2002,0,0,0
263,Kazakhstan,KAZ,2002,0,0,0
264,Kenya,KEN,2002,0,0,0
265,Kosovo,,2002,0,0,0
266,Kyrgyzstan,KGZ,2002,0,0,0
267,Laos,LAO,2002,0,0,0
268,Latvia,LVA,2002,0,0,0
269,Madagascar,MDG,2002,0,0,0
270,Malawi,MWI,2002,0,0,0
271,Malaysia,MYS,2002,700,0,700
272,Mauritius,MUS,2002,0,0,0
273,Mexico,MEX,2002,0,0,0
274,Moldova,MDA,2002,0,0,0
275,Mongolia,MNG,2002,0,0,0
276,Montenegro,MNE,2002,0,0,0
277,Morocco,MAR,2002,0,0,0
278,Mozambique,MOZ,2002,0,0,0
279,Myanmar,MMR,2002,0,0,0
280,Namibia,NAM,2002,0,0,0
281,Netherlands,NLD,2002,0,0,0
282,New Zealand,NZL,2002,0,0,0
283,Niger,NER,2002,0,0,0
284,Nigeria,NGA,2002,0,0,0
285,North Korea,KOR,2002,0,0,0
286,North Macedonia,MKD,2002,0,0,0
287,Oman,OMN,2002,0,0,0
288,Pakistan,PAK,2002,0,0,0
